number,name,position,image,backup,verified
0,Damon Allen,DB,https://dxbhsrqyrr690.cloudfront.net/sidearm.nextgen.sites/fausports.com/images/2026/4/24/Allen_Damon.jpg,https://images.sidearmdev.com/resize?type=jpeg&url=https%3A%2F%2Fdxbhsrqyrr690.cloudfront.net%2Fsidearm.nextgen.sites%2Ffausports.com%2Fimages%2F2026%2F4%2F24%2FAllen_Damon.jpg&width=1600,yes
1,CJ Doggette Jr.,DL,https://dxbhsrqyrr690.cloudfront.net/sidearm.nextgen.sites/fausports.com/images/2026/4/24/Doggette_Jr_CJ.jpg,https://images.sidearmdev.com/resize?type=jpeg&url=https%3A%2F%2Fdxbhsrqyrr690.cloudfront.net%2Fsidearm.nextgen.sites%2Ffausports.com%2Fimages%2F2026%2F4%2F24%2FDoggette_Jr_CJ.jpg&width=1600,yes
2,Wilky Denaud,DL,https://dxbhsrqyrr690.cloudfront.net/sidearm.nextgen.sites/fausports.com/images/2026/4/24/Denaud_Wilky.jpg,https://images.sidearmdev.com/resize?type=jpeg&url=https%3A%2F%2Fdxbhsrqyrr690.cloudfront.net%2Fsidearm.nextgen.sites%2Ffausports.com%2Fimages%2F2026%2F4%2F24%2FDenaud_Wilky.jpg&width=1600,pattern-derived
3,Derrick Rogers,DB,https://dxbhsrqyrr690.cloudfront.net/sidearm.nextgen.sites/fausports.com/images/2026/4/24/Rogers_Derrick.jpg,https://images.sidearmdev.com/resize?type=jpeg&url=https%3A%2F%2Fdxbhsrqyrr690.cloudfront.net%2Fsidearm.nextgen.sites%2Ffausports.com%2Fimages%2F2026%2F4%2F24%2FRogers_Derrick.jpg&width=1600,pattern-derived
4,Damarius McGhee,DB,https://dxbhsrqyrr690.cloudfront.net/sidearm.nextgen.sites/fausports.com/images/2026/4/24/McGhee_Damarius.jpg,https://images.sidearmdev.com/resize?type=jpeg&url=https%3A%2F%2Fdxbhsrqyrr690.cloudfront.net%2Fsidearm.nextgen.sites%2Ffausports.com%2Fimages%2F2026%2F4%2F24%2FMcGhee_Damarius.jpg&width=1600,pattern-derived
5,Deshaun Batiste,EDGE,https://dxbhsrqyrr690.cloudfront.net/sidearm.nextgen.sites/fausports.com/images/2026/4/24/Batiste_Deshaun.jpg,https://images.sidearmdev.com/resize?type=jpeg&url=https%3A%2F%2Fdxbhsrqyrr690.cloudfront.net%2Fsidearm.nextgen.sites%2Ffausports.com%2Fimages%2F2026%2F4%2F24%2FBatiste_Deshaun.jpg&width=1600,pattern-derived
6,Leon Hart Jr.,LB,https://dxbhsrqyrr690.cloudfront.net/sidearm.nextgen.sites/fausports.com/images/2026/4/24/Hart_Jr_Leon.jpg,https://images.sidearmdev.com/resize?type=jpeg&url=https%3A%2F%2Fdxbhsrqyrr690.cloudfront.net%2Fsidearm.nextgen.sites%2Ffausports.com%2Fimages%2F2026%2F4%2F24%2FHart_Jr_Leon.jpg&width=1600,pattern-derived
7,Khmari Johnson,LB,https://dxbhsrqyrr690.cloudfront.net/sidearm.nextgen.sites/fausports.com/images/2026/4/24/Johnson_Khmari.jpg,https://images.sidearmdev.com/resize?type=jpeg&url=https%3A%2F%2Fdxbhsrqyrr690.cloudfront.net%2Fsidearm.nextgen.sites%2Ffausports.com%2Fimages%2F2026%2F4%2F24%2FJohnson_Khmari.jpg&width=1600,pattern-derived
8,Chris Tooley III,CB,https://dxbhsrqyrr690.cloudfront.net/sidearm.nextgen.sites/fausports.com/images/2026/4/24/Tooley_III_Chris.jpg,https://images.sidearmdev.com/resize?type=jpeg&url=https%3A%2F%2Fdxbhsrqyrr690.cloudfront.net%2Fsidearm.nextgen.sites%2Ffausports.com%2Fimages%2F2026%2F4%2F24%2FTooley_III_Chris.jpg&width=1600,pattern-derived
9,Jonathan Bax,EDGE,https://dxbhsrqyrr690.cloudfront.net/sidearm.nextgen.sites/fausports.com/images/2026/4/24/Bax_Jonathan.jpg,https://images.sidearmdev.com/resize?type=jpeg&url=https%3A%2F%2Fdxbhsrqyrr690.cloudfront.net%2Fsidearm.nextgen.sites%2Ffausports.com%2Fimages%2F2026%2F4%2F24%2FBax_Jonathan.jpg&width=1600,pattern-derived
10,Josh Roberts,EDGE,https://dxbhsrqyrr690.cloudfront.net/sidearm.nextgen.sites/fausports.com/images/2026/4/24/Roberts_Josh.jpg,https://images.sidearmdev.com/resize?type=jpeg&url=https%3A%2F%2Fdxbhsrqyrr690.cloudfront.net%2Fsidearm.nextgen.sites%2Ffausports.com%2Fimages%2F2026%2F4%2F24%2FRoberts_Josh.jpg&width=1600,pattern-derived
11,Gavench Marcelin,EDGE,https://dxbhsrqyrr690.cloudfront.net/sidearm.nextgen.sites/fausports.com/images/2026/4/24/Marcelin_Gavench.jpg,https://images.sidearmdev.com/resize?type=jpeg&url=https%3A%2F%2Fdxbhsrqyrr690.cloudfront.net%2Fsidearm.nextgen.sites%2Ffausports.com%2Fimages%2F2026%2F4%2F24%2FMarcelin_Gavench.jpg&width=1600,pattern-derived
12,Jay Crable,EDGE,https://dxbhsrqyrr690.cloudfront.net/sidearm.nextgen.sites/fausports.com/images/2026/4/24/Crable_Jay.jpg,https://images.sidearmdev.com/resize?type=jpeg&url=https%3A%2F%2Fdxbhsrqyrr690.cloudfront.net%2Fsidearm.nextgen.sites%2Ffausports.com%2Fimages%2F2026%2F4%2F24%2FCrable_Jay.jpg&width=1600,pattern-derived
13,Earl Miller Jr.,DT,https://dxbhsrqyrr690.cloudfront.net/sidearm.nextgen.sites/fausports.com/images/2026/4/24/Miller_Jr_Earl.jpg,https://images.sidearmdev.com/resize?type=jpeg&url=https%3A%2F%2Fdxbhsrqyrr690.cloudfront.net%2Fsidearm.nextgen.sites%2Ffausports.com%2Fimages%2F2026%2F4%2F24%2FMiller_Jr_Earl.jpg&width=1600,pattern-derived
14,Tycoolhill Luman,DL,https://dxbhsrqyrr690.cloudfront.net/sidearm.nextgen.sites/fausports.com/images/2026/4/24/Luman_Tycoolhill.jpg,https://images.sidearmdev.com/resize?type=jpeg&url=https%3A%2F%2Fdxbhsrqyrr690.cloudfront.net%2Fsidearm.nextgen.sites%2Ffausports.com%2Fimages%2F2026%2F4%2F24%2FLuman_Tycoolhill.jpg&width=1600,pattern-derived
15,Tyclean Luman,EDGE,https://dxbhsrqyrr690.cloudfront.net/sidearm.nextgen.sites/fausports.com/images/2026/4/24/Luman_Tyclean.jpg,https://images.sidearmdev.com/resize?type=jpeg&url=https%3A%2F%2Fdxbhsrqyrr690.cloudfront.net%2Fsidearm.nextgen.sites%2Ffausports.com%2Fimages%2F2026%2F4%2F24%2FLuman_Tyclean.jpg&width=1600,pattern-derived
16,Wallace Foster IV,DB,https://dxbhsrqyrr690.cloudfront.net/sidearm.nextgen.sites/fausports.com/images/2026/4/24/Foster_IV_Wallace.jpg,https://images.sidearmdev.com/resize?type=jpeg&url=https%3A%2F%2Fdxbhsrqyrr690.cloudfront.net%2Fsidearm.nextgen.sites%2Ffausports.com%2Fimages%2F2026%2F4%2F24%2FFoster_IV_Wallace.jpg&width=1600,pattern-derived
17,Char'Quez Lee,LB,https://dxbhsrqyrr690.cloudfront.net/sidearm.nextgen.sites/fausports.com/images/2026/4/24/Lee_CharQuez.jpg,https://images.sidearmdev.com/resize?type=jpeg&url=https%3A%2F%2Fdxbhsrqyrr690.cloudfront.net%2Fsidearm.nextgen.sites%2Ffausports.com%2Fimages%2F2026%2F4%2F24%2FLee_CharQuez.jpg&width=1600,pattern-derived
18,Jackson Forte,EDGE,https://dxbhsrqyrr690.cloudfront.net/sidearm.nextgen.sites/fausports.com/images/2026/4/24/Forte_Jackson.jpg,https://images.sidearmdev.com/resize?type=jpeg&url=https%3A%2F%2Fdxbhsrqyrr690.cloudfront.net%2Fsidearm.nextgen.sites%2Ffausports.com%2Fimages%2F2026%2F4%2F24%2FForte_Jackson.jpg&width=1600,pattern-derived
18,Joseph Sipp Jr.,LB,https://dxbhsrqyrr690.cloudfront.net/sidearm.nextgen.sites/fausports.com/images/2026/4/24/Sipp_Jr_Joseph.jpg,https://images.sidearmdev.com/resize?type=jpeg&url=https%3A%2F%2Fdxbhsrqyrr690.cloudfront.net%2Fsidearm.nextgen.sites%2Ffausports.com%2Fimages%2F2026%2F4%2F24%2FSipp_Jr_Joseph.jpg&width=1600,pattern-derived
19,Tyson Rooks,DB,https://dxbhsrqyrr690.cloudfront.net/sidearm.nextgen.sites/fausports.com/images/2026/4/24/Rooks_Tyson.jpg,https://images.sidearmdev.com/resize?type=jpeg&url=https%3A%2F%2Fdxbhsrqyrr690.cloudfront.net%2Fsidearm.nextgen.sites%2Ffausports.com%2Fimages%2F2026%2F4%2F24%2FRooks_Tyson.jpg&width=1600,pattern-derived
20,Bo Simpson-Nealy,DB,https://dxbhsrqyrr690.cloudfront.net/sidearm.nextgen.sites/fausports.com/images/2026/4/24/SimpsonNealy_Bo.jpg,https://images.sidearmdev.com/resize?type=jpeg&url=https%3A%2F%2Fdxbhsrqyrr690.cloudfront.net%2Fsidearm.nextgen.sites%2Ffausports.com%2Fimages%2F2026%2F4%2F24%2FSimpsonNealy_Bo.jpg&width=1600,pattern-derived
