Player Id,Name,Team,#,POS,Season,DEF,RUND,PRSH,COV,DEF_GRD,RUND_GRD,PRSH_GRD,COV_GRD,TKL,AST,FIRST_TACKLES,MT,STOP,SK,HT,HU,TPR,PBU,INT,FF,FR,TFL_NG,PR_WIN_PCT,PRESSURE_PCT,PRP,CTGT,REC_ALLOWED,COMP_PCT_ALLOWED,PASS_YDS_ALLOWED,TD_ALLOWED,YPR_ALLOWED,FIRSTD_ALLOWED,FORCED_INCOMP,RTG_ALLOWED,ALIGN_DL,ALIGN_IDL,ALIGN_EDGE,ALIGN_BOX,ALIGN_ILB,ALIGN_OLB,ALIGN_SS,ALIGN_FS,ALIGN_SCB,ALIGN_CB,PASS_SNAPS,PRSH_USAGE_PCT,COV_USAGE_PCT,EARLY_PASS_SNAPS,EARLY_PRSH_PCT,EARLY_COV_PCT,LATE_PASS_SNAPS,LATE_PRSH_PCT,LATE_COV_PCT,TECH_0,TECH_1,TECH_2,TECH_2I,TECH_3,TECH_4,TECH_4I,TECH_5,TECH_6,TECH_6I,TECH_7,TECH_9,ZONE_PCT,MAN_PCT,MAN_SNAPS,PRESS_COV_PCT,ZONE_FLAT,ZONE_CURL_FLAT,ZONE_SCIF,ZONE_HOOK_CURL,ZONE_HOLE,ZONE_DEEP_QTR,ZONE_DEEP_HALF,ZONE_DEEP_THIRD,ZONE_FREE,ZONE_SPY,MATCH_SNAPS,PRESS_JAM,PRESS_CONTACT,PRESS_MIRROR,PRESS_REDIRECT,PRESS_BAIL
169935,DeAgo Brumfield,MISS STATE,04,CB,2025,618,291,6,61.1,58.4,48.3,58.6,321,31,4,29,7,0,0,1,0,1,3,1,0,0,2,0,16.7%,8.3,46,29,63.0%,422,8,14.6,21,5,123.4,4,0,4,62,40,4,22,4,44,504,327,1.8%,98.2%,186,1.1%,98.9%,108,3.7%,96.3%,0,0,0,0,0,0,0,0,1,0,0,0,53.9%,45.2%,145,24.9%,34,0,0,2,0,24,19,79,1,0,14,19,29,32,0,0
198859,Dwight Lewis III,MISS STATE,26,CB,2025,55,28,0,57.5,61.6,72,,27,4,2,3,1,0,0,0,0,0,0,0,0,1,0,,,,6,3,50.0%,20,0,6.7,0,0,57.6,2,0,2,7,6,2,1,0,0,46,27,0,100%,9,0,100%,9,0,100%,,,,,,,,,,,,,63.0%,37.0%,10,11.1%,4,0,0,0,0,4,0,7,0,0,2,1,0,2,0,0
184752,Elijah Cannon,MISS STATE,24,CB,2025,15,11,0,71.4,71.8,61.2,,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,1,0,0.0%,0,0,0.0,0,0,39.6,0,0,0,0,0,0,0,0,0,15,4,0,100%,2,0,100%,1,0,100%,,,,,,,,,,,,,0,100%,4,50.0%,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0
160395,Jayven Williams,MISS STATE,15,CB,2025,344,165,4,65.9,63.4,48.8,62.5,175,15,2,16,5,1,0,0,2,2,2,1,2,0,1,25.0%,50.0%,25.0,18,9,50.0%,194,2,21.6,4,2,102.5,4,0,4,32,19,4,13,5,11,292,179,2.2%,97.8%,104,1.0%,99.0%,52,5.8%,94.2%,0,0,0,0,0,0,0,0,0,0,0,1,56.0%,44.0%,77,24.0%,21,0,0,1,0,10,16,41,0,0,9,24,6,12,0,0
198858,Jett Jefferson,MISS STATE,20,CB,2025,116,56,2,67.7,66,57.8,58.8,58,8,3,7,1,1,0,0,0,0,0,0,0,0,0,0,0.0%,0.0,6,4,66.7%,107,1,26.8,2,0,149.3,0,0,0,12,11,0,1,0,6,98,60,3.3%,96.7%,37,5.4%,94.6%,16,0,100%,0,0,0,0,0,0,0,0,0,0,0,0,74.1%,24.1%,14,17.2%,7,0,0,0,0,2,12,17,0,0,5,2,2,6,0,0
175896,Kelley Jones,MISS STATE,01,CB,2025,691,312,6,76.8,77.1,75.1,48.5,373,28,5,22,3,5,0,0,0,0,10,2,0,0,0,0,0.0%,0.0,45,11,24.4%,212,3,19.3,9,12,50.4,4,0,4,56,35,4,21,6,27,598,379,1.6%,98.4%,224,1.3%,98.7%,114,2.6%,97.4%,0,0,0,0,0,0,0,0,0,0,0,1,51.2%,47.7%,178,28.9%,39,1,0,0,0,25,23,93,1,0,9,48,19,41,0,0
205093,Kyle Johnson,MISS STATE,17,CB,2025,6,6,0,,61,60.4,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,,,,,,,,,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
184762,Ashun Shepphard,MISS STATE,98,DI,2025,26,11,15,62.2,61.4,57.8,56.3,,3,1,3,0,2,0,0,0,0,0,0,0,0,0,0,0.0%,0.0,0,,,,,,,,,26,20,6,0,0,0,0,0,0,0,15,100%,0,8,100%,0,4,100%,0,0,0,0,0,1,0,1,1,0,0,0,0,,,,,,,,,,,,,,,,,,,,
164276,Corey Clark,MISS STATE,94,DI,2025,25,7,18,60,53.3,65.4,55.1,,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%,0.0,0,,,,,,,,,25,22,3,0,0,0,0,0,0,0,18,100%,0,5,100%,0,4,100%,0,11,2,1,2,0,1,1,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,
172460,DJ Reed,MISS STATE,42,DI,2025,354,132,222,57.7,55.2,55.8,55.7,,14,7,12,5,9,1,7,15,23,0,0,0,0,0,5.4%,10.4%,5.4,0,,,,,,,,,354,180,174,0,0,1,0,0,0,0,222,100%,0,105,100%,0,82,100%,0,0,0,7,5,33,14,55,11,12,14,7,3,,,,,,,,,,,,,,,,,,,,
