#,Name,Formation,Unbalanced,FIB,FrntGen,Front Family,Front,Front Adjustment,Stunt 1,Stunt 2,Blitz Family,Blitz,COV FAM,Coverage,Open/Closed,MAN/ZONE,Cov Type,Coverage Adjustment,Drive #,Drive Play #,pff_DRIVEENDEVENT,Quarter,Down,Distance,pff_GAINLOSS,pff_HASH,2M/4M,R/P,pff_PASSRESULT,Personnel,Form Adj Bunch,Form Adj Stack,Form Adj Reduce,Form Adj Slot,Motion 1,Motion 2,Shift O,Protection,Play,Tempo,Code Word,Cadence,DP,DPG,TD Comments 1,TD Comments 2,P Coverage,Pressure Y/N,# Rushers,Pressure Comments,GA Comments 1,GA Comments 2,GA Comments 3,GA Comments 4,Formation Family,Backfield Set,Y Open/Close,Run Family,Run Concept,PROTSTYLE,Play Family,Pass Concept,Pass Concept 1,Final Form,pff_DEFPACKAGE,pff_DEFPERSONNEL,pff_FUMBLE,pff_INTERCEPTION,pff_PENALTY,pff_SNAPTIME,pff_TRICKPLAY,Explosive,Pass Result,Target #,Form Adj Y,Empty,pff_CLOCK,Yards To GL,Field Position,Signal 1,Signal 2,Signal 3,After Big Play,2 Minute,4 Minute,pff_OFFPERSONNEL,pff_OFFPERSONNELGROUP,pff_YARDSTOGOALLINE
1,"2501 Oklahoma State D vs UT Martin, Play 036",XTRA TWINS,,0,,EVEN,42 OG,W MUG,,,FIRE,W-A,1,BL 1,C,MAN,,,7,8,PUNT,3,1,10,'-1,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NICKEL,4-2-5,,,,,0,,,,,,11:42,,'+38,,,,,,,3-0-1-1,11,38
2,"2501 Oklahoma State D vs UT Martin, Play 041",XTRA TWINS,,0,,EVEN,42 UG,,,,,,4,4 SPEC,O,ZONE,,STUD,8,2,INTERCEPTION,3,2,12,4,L,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NICKEL,3-3-5,,,,,0,,COMPLETE,,,,04:40,,'-23,,,,,,,3-0-1-1,11,77
3,"2501 Oklahoma State D vs UT Martin, Play 056",XTRA TWINS,,0,,NO PLAY,,,,,,,,,,,,,10,1,PUNT,4,1,10,0,L,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NICKEL,3-3-5,,,TNMR 62 FST,,0,,,,,,04:36,,'-25,,,,,,,3-0-1-1,11,75
4,"2501 Oklahoma State D vs UT Martin, Play 057",XTRA TWINS,,0,,EVEN,42 UG,,,,,,4,4 SPEC,O,ZONE,,STUD,10,2,PUNT,4,1,15,0,L,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NICKEL,3-3-5,,,,,0,,THROWN AWAY,,,,04:36,,'-20,,,,,,,3-0-1-1,11,80
5,"2501 Oklahoma State D vs UT Martin, Play 033",XTRA TRIO,,0,,NO PLAY,,,,,,,,,,,,,7,5,PUNT,3,2,4,0,R,,,,,,,,,MO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BASE,4-3-4,,,TNMR 78 FST,,0,,,,,,12:44,,'-43,,,,,,,3-0-1-1,11,57
6,"2501 Oklahoma State D vs UT Martin, Play 014",TWINS XTRA FIB,,1,,EVEN,42 UG,,,,,,4,4,O,ZONE,,"N-BND, STUD",3,3,PUNT,1,2,10,2,L,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NICKEL,4-2-5,,,,,0,,,,,,01:28,,'-45,,,,,,,3-0-1-1,11,55
7,"2501 Oklahoma State D vs UT Martin, Play 013",TWINS,,0,,EVEN,42 OG,LB BOSS,,,,,3,3 BND,C,ZONE,,MATCH,3,2,PUNT,1,1,10,0,L,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NICKEL,4-2-5,,,,,0,,INCOMPLETE,,,,01:34,,'-45,,,,,,,3-0-1-1,11,55
8,"2501 Oklahoma State D vs UT Martin, Play 001",TRIPS,,0,,EVEN,EAGLE UN G,,,,,,4,4,O,ZONE,,,1,1,PUNT,1,1,10,6,L,,,,,,,,,ZIP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BASE,4-3-4,,,OKST D05 HC,,0,,COMPLETE,,,,11:20,,'-25,,,,,,,2-0-1-2,12,75
9,"2501 Oklahoma State D vs UT Martin, Play 038",TRIPS,,0,,EVEN,42 WDE,,,,,,2,2 CUT,O,ZONE,,,7,10,PUNT,3,3,10,5,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NICKEL,2-4-5,,,,,0,,,,,,10:36,,'+38,,,,,,,2-0-1-2,12,38
10,"2501 Oklahoma State D vs UT Martin, Play 026",TRIO FIB,,1,,EVEN,42 UG,,,,,,4,4 SPEC,O,ZONE,,N-BND,6,2,PUNT,2,1,10,4,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NICKEL,3-3-5,,,,,0,,,,,,02:10,,'-37,,,,,,,2-0-1-2,12,63
11,"2501 Oklahoma State D vs UT Martin, Play 003",TRIO,,0,,EVEN,42 OG,LB BOSS,,,,,3,3 BND,C,ZONE,,,1,3,PUNT,1,2,8,2,R,,,,,,,,,MOTOR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NICKEL,4-2-5,,,,,0,,,,,,10:15,,'-48,,,,,,,3-0-1-1,11,52
12,"2501 Oklahoma State D vs UT Martin, Play 028",TRIO,,0,,EVEN,42 WDE,,,,,,3,3 BUZZ FLD,C,ZONE,,N-BND,6,4,PUNT,2,3,8,3,R,,,,,,,,,MISSILE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NICKEL,2-4-5,,,,,0,,,,,,01:18,,'-39,,,,,,,3-0-1-1,11,61
13,"2501 Oklahoma State D vs UT Martin, Play 029",TRIO,,0,,EVEN,42 OG,LB BOW,,,,,4,4 SPEC,O,ZONE,,BUST ON FAST MO BY 3,7,1,PUNT,3,1,10,3,C,,,,,,,,,BURN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NICKEL,3-3-5,,,,,0,,,,,,15:00,,'-25,,,,,,,3-0-1-1,11,75
14,"2501 Oklahoma State D vs UT Martin, Play 031",TRIO,,1,,EVEN,42 UG,,,,,,1,1 FUN,C,MAN,,,7,3,PUNT,3,3,1,3,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NICKEL,3-3-5,,,,,0,,,,,,13:52,,'-34,,,,,,,3-0-1-1,11,66
15,"2501 Oklahoma State D vs UT Martin, Play 047",TRIO,,0,,EVEN,42 OG,,,,,,4,4 BKT,O,ZONE,,,8,8,INTERCEPTION,3,2,7,6,R,,,,,,,,,MO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NICKEL,3-3-5,,,,,0,,,,,,01:59,,'+39,,,,,,,3-0-1-1,11,39
16,"2501 Oklahoma State D vs UT Martin, Play 048",TRIO,,0,,ODD,51,MUW,E/N,,,,1,1 FUN,C,MAN,,,8,9,INTERCEPTION,3,3,1,1,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NICKEL,3-3-5,,,,,0,,,,,,01:15,,'+33,,,,,,,3-0-1-1,11,33
17,"2501 Oklahoma State D vs UT Martin, Play 049",TRIO,,0,,EVEN,42 UG,,,,FIRE,M+A,1,BL 1,C,MAN,,,8,10,INTERCEPTION,3,1,10,2,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NICKEL,4-2-5,,,,,0,,,,,,00:33,,'+32,,,,,,,3-0-1-1,11,32
18,"2501 Oklahoma State D vs UT Martin, Play 058",TRIO,,0,,EVEN,41 OG,,,,,,3,3 BND,C,ZONE,,MATCH,10,3,PUNT,4,2,15,'-1,L,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NICKEL,3-3-5,,,,,0,,,,,,04:29,,'-20,,,,,,,3-0-1-1,11,80
19,"2501 Oklahoma State D vs UT Martin, Play 060",TRIO,,0,,EVEN,42 OG,LB BOSS,,,,,3,3 BND,C,ZONE,,MATCH,11,1,END OF GAME,4,1,10,'-3,L,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NICKEL,3-3-5,,,,,0,,,,,,00:08,,'-14,,,,,,,3-0-1-1,11,86
20,"2501 Oklahoma State D vs UT Martin, Play 039",TOP FIB,,0,,NO PLAY,,,,,,,,,,,,,7,11,PUNT,3,4,5,0,L,,,,,,,,,MISSILE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NICKEL,2-4-5,,,TNMR 78 FST,,0,,,,,,09:50,,'+33,,,,,,,3-0-1-1,11,33
21,"2501 Oklahoma State D vs UT Martin, Play 008",TOP FIB,,0,,EVEN,42 OG,LB BOW,,,FIRE,N-FIRE BND,3,BZ 3 BND,C,ZONE,,N-BND,2,1,TOUCHDOWN,1,1,10,9,R,,,,,,,,,ZOOM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NICKEL,3-3-5,,,,,0,,COMPLETE,,,,03:57,,'-35,,,,,,,3-0-1-1,11,65
22,"2501 Oklahoma State D vs UT Martin, Play 009",TOP,,0,,EVEN,41 OG,,,,,,4,4 SPEC,O,ZONE,,,2,2,TOUCHDOWN,1,2,1,8,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NICKEL,3-3-5,,,,,0,,,,,,03:27,,'-44,,,,,,,3-0-1-1,11,56
23,"2501 Oklahoma State D vs UT Martin, Play 018",TOP,,0,,EVEN,42 WDE,,,,,,3,3 BND,C,ZONE,,MATCH,4,3,PUNT,2,3,8,13,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NICKEL,2-4-5,,,,,0,,,,,,12:26,,'-10,,,,,,,3-0-1-1,11,90
24,"2501 Oklahoma State D vs UT Martin, Play 019",TWINS XTRA,,0,,EVEN,42 UG,LB BOSS,,,,,4,4 SPEC,O,ZONE,,,4,4,PUNT,2,1,10,1,L,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NICKEL,3-3-5,,,,,0,,,,,,11:57,,'-23,,,,,,,3-0-1-1,11,77
25,"2501 Oklahoma State D vs UT Martin, Play 032",TOP,,0,,EVEN,41 UG,,N/T,,FIRE,CAT,1,BL 1,C,MAN,,,7,4,PUNT,3,1,10,6,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NICKEL,3-3-5,,,,,0,,,,,,13:24,,'-37,,,,,,,3-0-1-1,11,63
26,"2501 Oklahoma State D vs UT Martin, Play 037",TOP,,0,,EVEN,41 UG,,,,,,4,4 SPEC,O,ZONE,,,7,9,PUNT,3,2,11,1,L,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NICKEL,4-2-5,,,,,0,,LATERAL,,,,11:17,,'+39,,,,,,,3-0-1-1,11,39
27,"2501 Oklahoma State D vs UT Martin, Play 043",TOP,,0,,EVEN,41 UG,LB BOSS W 40,,,FIRE,CAT,1,BL 1,C,MAN,,,8,4,INTERCEPTION,3,1,10,0,R,,,,,,,,,ZOOM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NICKEL,3-3-5,,,,,0,,INCOMPLETE,,,,03:40,,'-44,,,,,,,3-0-1-1,11,56
28,"2501 Oklahoma State D vs UT Martin, Play 046",TOP,,0,,EVEN,41 UG,,,,FIRE,M-FIRE,1,BL 1,C,MAN,,,8,7,INTERCEPTION,3,1,10,3,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NICKEL,3-3-5,,,,,0,,,,,,02:36,,'+42,,,,,,,2-0-1-2,12,42
29,"2501 Oklahoma State D vs UT Martin, Play 053",TOP,,0,,EVEN,42 OG,M BUMP ON MO,,,,,3,3 BND,C,ZONE,,,9,2,PUNT,4,1,15,1,L,,,,,,,,,MOTOR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NICKEL,3-3-5,,,,,0,,,,,,11:41,,'-17,,,,,,,3-0-1-1,11,83
30,"2501 Oklahoma State D vs UT Martin, Play 055",TOP,,0,,EVEN,41 WDE,BACKERS 7 YDS DEPTH,,,,,2,2 TAMPA,O,ZONE,,,9,4,PUNT,4,3,18,7,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NICKEL,2-4-5,,,,,0,,,,,,10:31,,'-14,,,,,,,3-0-1-1,11,86
31,"2501 Oklahoma State D vs UT Martin, Play 059",TOP,,0,,EVEN,41 WDE,,,,,,3,3 BUZZ BND,C,ZONE,,,10,4,PUNT,4,3,16,10,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NICKEL,2-4-5,,,,,0,,COMPLETE,,,,03:47,,'-19,,,,,,,3-0-1-1,11,81
32,"2501 Oklahoma State D vs UT Martin, Play 012",STACK TOP FIB,,1,,EVEN,42 UG,STEM ON BACK MOTION,,,,,4,4,O,ZONE,,N-BND,3,1,PUNT,1,1,10,0,L,,,,,,,,,SHIFT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NICKEL,4-2-5,,,OKST D95 HC,,0,,HIT AS THREW,,,,01:41,,'-30,,,,,,,3-0-1-1,11,70
33,"2501 Oklahoma State D vs UT Martin, Play 010",SPLIT FIB,,1,,EVEN,42 UG,,,,,,4,4 BKT,O,ZONE,,N-BND,2,3,TOUCHDOWN,1,1,10,9,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NICKEL,3-3-5,,,,,0,,RUN,,,,02:52,,'+48,,,,,,,3-0-1-1,11,48
34,"2501 Oklahoma State D vs UT Martin, Play 052",SPLIT,,0,,NO PLAY,,,,,,,,,,,,,9,1,PUNT,4,1,10,0,L,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NICKEL,3-3-5,,,TNMR 65 FST,,0,,,,,,11:41,,'-22,,,,,,,3-0-1-1,11,78
35,"2501 Oklahoma State D vs UT Martin, Play 054",SPLIT,,0,,EVEN,42 UG,,,,,,3,3 BUZZ FLD,C,ZONE,,,9,3,PUNT,4,2,14,'-4,L,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NICKEL,3-3-5,,,,,0,,SACK,,,,11:12,,'-18,,,,,,,3-0-1-1,11,82
36,"2501 Oklahoma State D vs UT Martin, Play 004",MT TRIO,,0,,EVEN,42 WDE,M-MUG W-BUMPED,,,,,2,2 CUT,O,ZONE,,,1,4,PUNT,1,3,6,6,L,,,,,,,,,MOTOR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NICKEL,2-4-5,,,,,0,,,,,,09:36,,'+50,,,,,,,3-0-1-1,11,50
37,"2501 Oklahoma State D vs UT Martin, Play 027",MT,,0,,EVEN,42 UG,,,,,,3,3 FLD,C,ZONE,,N-BND,6,3,PUNT,2,2,6,'-2,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NICKEL,3-3-5,,,,,0,,,,,,02:00,,'-41,,,,,,,2-0-1-2,12,59
38,"2501 Oklahoma State D vs UT Martin, Play 030",MT,,0,,EVEN,41 UG,,E/N,T/J,,,4,4 SPEC,O,ZONE,,,7,2,PUNT,3,2,7,6,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NICKEL,3-3-5,,,,,0,,COMPLETE,,,,14:29,,'-28,,,,,,,3-0-1-1,11,72
39,"2501 Oklahoma State D vs UT Martin, Play 016",FLUTE,,0,,EVEN,42 EAGLE OV,LB BOSS,,,,,4,4,O,ZONE,,,4,1,PUNT,2,1,10,0,C,,,,,,,,,ZOOM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BASE,4-3-4,,,,,0,,INCOMPLETE,,,,13:06,,'-8,,,,,,,2-0-1-2,12,92
40,"2501 Oklahoma State D vs UT Martin, Play 040",FLANK,,0,,EVEN,42 UG,,,,,,4,4 BKT,O,ZONE,,,8,1,INTERCEPTION,3,1,10,'-2,C,,,,,,,,,ZOOM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NICKEL,3-3-5,,,,,0,,,,,,05:12,,'-25,,,,,,,2-0-1-2,12,75
41,"2501 Oklahoma State D vs UT Martin, Play 021",FIST,,0,,EVEN,42 WDE,E/J DROP,,,CHG,GUT,1,BL 1 CHG,C,MAN,,,4,6,PUNT,2,3,6,0,R,,,,,,,,,BOUNCE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NICKEL,2-4-5,,,,,0,,INCOMPLETE,,,,10:53,,'-27,,,,,,,3-0-1-1,11,73
42,"2501 Oklahoma State D vs UT Martin, Play 022",FIST,,0,,EVEN,42 OG,LB BOSS,,,,,4,4 STUD,O,ZONE,,STUD,5,1,PUNT,2,1,10,1,R,,,,,,,,,STRUT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NICKEL,3-3-5,,,,,0,,,,,,08:41,,'-15,,,,,,,3-0-1-1,11,85
43,"2501 Oklahoma State D vs UT Martin, Play 024",FIST,,0,,EVEN,42 WDE,,,,,,3,3 BUZZ FLD,C,ZONE,,,5,3,PUNT,2,3,5,'-1,R,,,,,,,,,ZOOM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NICKEL,2-4-5,,,(D) ILM,,0,,SACK,,,,07:32,,'-20,,,,,,,3-0-1-1,11,80
44,"2501 Oklahoma State D vs UT Martin, Play 034",FIST,,0,,EVEN,42 UN,,,,,,1,1 FUN,C,MAN,,,7,6,PUNT,3,2,9,11,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NICKEL,3-3-5,,,,,0,,COMPLETE,,,,12:32,,'-38,,,,,,,3-0-1-1,11,62
45,"2501 Oklahoma State D vs UT Martin, Play 035",FIST,,0,,EVEN,42 UG,LB'S IN 50'S,,,FIRE,CAT,1,BL 1,C,MAN,,,7,7,PUNT,3,1,10,13,L,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NICKEL,4-2-5,,,,,0,,,,,,12:06,,'-49,,,,,,,3-0-1-1,11,51
46,"2501 Oklahoma State D vs UT Martin, Play 020",DUO,,0,,EVEN,42 UG,,,,,,3,3 BND,C,ZONE,,,4,5,PUNT,2,2,9,3,L,,,,,,,,,MO,BOUNCE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NICKEL,3-3-5,,,,,0,,COMPLETE,,,,11:24,,'-24,,,,,,,3-0-1-1,11,76
47,"2501 Oklahoma State D vs UT Martin, Play 050",MT,,1,,EVEN,42 OG,,,,,,3,3 FLD,C,ZONE,,N-BND,8,11,INTERCEPTION,4,2,8,4,R,,,,,,,,,MOTOR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NICKEL,4-2-5,,,,,0,,,,,,15:00,,'+30,,,,,,,2-0-1-2,12,30
48,"2501 Oklahoma State D vs UT Martin, Play 044",DUO,,0,,EVEN,42 UG,,,,,,3,3 BND,C,ZONE,,,8,5,INTERCEPTION,3,2,10,8,R,,,,,,,,,MOTOR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NICKEL,3-3-5,,,,,0,,,,,,03:35,,'-44,,,,,,,3-0-1-1,11,56
49,"2501 Oklahoma State D vs UT Martin, Play 005",DICE,,0,,EVEN,42 UG,W-BUMPED,,,,,4,4 BKT,O,ZONE,,,1,5,PUNT,1,1,10,3,L,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NICKEL,3-3-5,,,,,0,,,,,,09:00,,'+44,,,,,,,4-0-1-0,10,44
